dispute_id,txn_id,dispute_open_date,merchant_id,channel,country,amount_usd,reason_code,dispute_amount_usd,evidence_quality,response_time_days,outcome,cb_fee_usd,risk_tier,tenure_months,monthly_volume_usd,refund_rate
D0000022,T0001477,2024-10-16,M0012,CP,MX,33.99,PROCESSING_ERROR,33.99,68,6,WIN,15.34,High,58,49562.94,0.1378
D0000023,T0001483,2025-03-23,M0087,CNP,US,55.04,FRAUD,55.04,74,7,LOSS,15.55,Medium,6,22419.39,0.0679
D0000024,T0001502,2025-11-12,M0073,CNP,US,152.99,NOT_AS_DESCRIBED,152.99,37,6,LOSS,16.53,High,28,11302.33,0.1269
D0000025,T0001545,2025-10-13,M0201,CNP,UK,19.61,NOT_AS_DESCRIBED,19.61,75,5,LOSS,15.2,Medium,22,32333.6,0.0383
D0000026,T0001579,2025-09-13,M0177,CP,US,15.06,NO_AUTH,8.35,72,3,LOSS,15.08,Low,43,45521.34,0.2029
D0000027,T0001644,2025-01-04,M0012,CNP,DE,15.41,PROCESSING_ERROR,15.41,59,6,LOSS,15.15,High,58,49562.94,0.1378
D0000028,T0001652,2025-08-19,M0201,CNP,US,50.92,NOT_AS_DESCRIBED,50.92,68,8,LOSS,15.51,Medium,22,32333.6,0.0383
D0000029,T0001788,2025-04-15,M0202,CNP,MX,44.58,CANCELLED,44.58,82,4,WIN,15.45,Medium,54,27670.67,0.0973
D0000030,T0001795,2025-12-26,M0172,CNP,US,48.7,FRAUD,48.7,56,11,WIN,15.49,High,6,24174.45,0.1046
D0000031,T0001832,2025-02-02,M0176,CNP,US,44.04,NOT_AS_DESCRIBED,44.04,78,8,WIN,15.44,Medium,28,20003.76,0.2247
D0000032,T0001848,2024-02-26,M0108,CNP,US,44.18,CANCELLED,44.18,47,8,LOSS,15.44,High,40,56843.56,0.1963
D0000033,T0001874,2025-10-29,M0018,CNP,AU,46.13,NOT_RECEIVED,46.13,57,5,LOSS,15.46,High,8,74764.75,0.1323
D0000034,T0001910,2025-07-18,M0209,CNP,US,65.85,FRAUD,65.85,27,6,LOSS,15.66,High,16,34308.47,0.2676
D0000035,T0001921,2025-10-30,M0057,CNP,AU,8.78,NO_AUTH,8.78,61,4,LOSS,15.09,High,33,64214.82,0.0858
D0000036,T0001928,2024-06-15,M0127,CNP,US,37.64,DUPLICATE,37.64,45,7,LOSS,15.38,High,5,39199.83,0.0737
D0000037,T0001935,2025-06-06,M0129,CNP,US,27.05,NOT_AS_DESCRIBED,27.05,96,7,WIN,15.27,Low,34,34916.38,0.1421
D0000038,T0001941,2025-05-04,M0019,CNP,IN,36.22,FRAUD,10.9,78,5,LOSS,15.11,Medium,50,20915.91,0.2029
D0000039,T0001947,2025-09-01,M0008,CNP,US,23.36,NOT_AS_DESCRIBED,23.36,69,6,WIN,15.23,Medium,42,30069.55,0.1107
D0000040,T0002030,2024-12-10,M0056,CNP,UK,53.52,NOT_AS_DESCRIBED,53.52,54,8,LOSS,15.54,High,3,56321.5,0.1856
D0000041,T0002128,2024-09-16,M0005,CNP,US,32.85,DUPLICATE,19.05,63,4,LOSS,15.19,Medium,26,60766.9,0.3188
D0000042,T0002327,2025-03-21,M0206,CP,US,19.25,NOT_RECEIVED,19.25,63,7,LOSS,15.19,Medium,16,24641.65,0.1799
D0000043,T0002340,2025-08-16,M0234,CNP,US,23.98,DUPLICATE,23.98,89,4,LOSS,15.24,Low,45,11968.71,0.0568
D0000044,T0002362,2024-02-03,M0010,CNP,BR,9.32,PROCESSING_ERROR,9.32,51,7,WIN,15.09,Medium,6,27072.79,0.0214
D0000045,T0002371,2025-07-08,M0009,CNP,AU,68.07,NOT_RECEIVED,68.07,82,8,LOSS,15.68,Low,12,38524.56,0.109
D0000046,T0002388,2025-08-18,M0098,CNP,DE,31.88,CANCELLED,31.88,68,9,WIN,15.32,Medium,41,32311.83,0.0678
D0000047,T0002407,2024-06-05,M0074,CNP,MX,75.65,FRAUD,75.65,62,8,LOSS,15.76,Low,8,40344.2,0.08
D0000048,T0002419,2024-08-07,M0087,CNP,UK,44.74,PROCESSING_ERROR,44.74,55,7,LOSS,15.45,Medium,6,22419.39,0.0679
D0000049,T0002454,2024-06-11,M0168,CNP,US,15.36,NO_AUTH,15.36,46,6,LOSS,15.15,High,10,35660.1,0.1742
D0000050,T0002576,2024-08-25,M0108,CP,US,34.12,CANCELLED,34.12,63,7,LOSS,15.34,High,40,56843.56,0.1963
D0000051,T0002678,2024-06-02,M0236,CNP,US,39.85,NOT_RECEIVED,39.85,64,7,WIN,15.4,High,43,23235.54,0.1104
D0000052,T0002778,2025-04-14,M0192,CNP,AU,28.15,FRAUD,22.71,86,2,WIN,15.23,Low,38,28500.29,0.35
D0000053,T0002843,2024-06-23,M0047,CNP,US,37.83,NOT_RECEIVED,37.83,78,7,LOSS,15.38,Low,27,38210.86,0.0126
D0000054,T0002876,2024-03-02,M0216,CNP,CA,5.49,FRAUD,5.49,84,9,LOSS,15.05,Low,17,50490.57,0.1177
D0000055,T0002893,2024-02-13,M0194,CNP,US,179.26,FRAUD,179.26,75,5,WIN,16.79,Low,22,23080.37,0.0481
D0000056,T0002895,2025-02-27,M0065,CNP,US,31.68,NO_AUTH,31.68,56,11,LOSS,15.32,Low,25,19885.19,0.0566
D0000057,T0002927,2025-08-09,M0083,CP,DE,12.72,PROCESSING_ERROR,12.72,56,10,WIN,15.13,Medium,10,55623.66,0.1209
D0000058,T0003011,2024-02-26,M0246,CNP,US,286.91,NOT_AS_DESCRIBED,170.43,57,4,WIN,16.7,Medium,5,40929.63,0.0315
D0000059,T0003198,2024-08-13,M0140,CNP,IN,13.1,NO_AUTH,13.1,47,7,LOSS,15.13,High,26,65505.29,0.0481
D0000060,T0003323,2024-08-26,M0218,CNP,US,62.35,NO_AUTH,62.35,53,7,LOSS,15.62,Medium,6,23414.61,0.1394
D0000061,T0003343,2024-02-19,M0177,CNP,UK,22.23,CANCELLED,22.23,66,5,LOSS,15.22,Low,43,45521.34,0.2029
D0000062,T0003413,2025-05-18,M0012,CNP,BR,36.35,NOT_AS_DESCRIBED,36.35,69,10,WIN,15.36,High,58,49562.94,0.1378
D0000063,T0003433,2025-06-14,M0005,CNP,BR,22.03,PROCESSING_ERROR,22.03,81,11,WIN,15.22,Medium,26,60766.9,0.3188
D0000064,T0003462,2024-07-15,M0217,CP,IN,25.14,NOT_AS_DESCRIBED,18.78,49,7,LOSS,15.19,High,5,61459.55,0.238
D0000065,T0003626,2024-11-22,M0226,CNP,US,32.28,NOT_AS_DESCRIBED,32.28,64,11,LOSS,15.32,Medium,19,14084.95,0.082
D0000066,T0003688,2024-01-01,M0198,CNP,US,8.37,NO_AUTH,8.37,60,6,WIN,15.08,Low,7,12212.07,0.0572
D0000067,T0003719,2024-02-21,M0189,CNP,US,135.24,FRAUD,135.24,59,10,LOSS,16.35,Low,15,34860.36,0.1632
D0000068,T0003747,2024-01-20,M0056,CNP,AU,25.64,DUPLICATE,25.64,25,10,LOSS,15.26,High,3,56321.5,0.1856
D0000069,T0003797,2025-01-26,M0015,CNP,US,25.18,FRAUD,25.18,75,9,LOSS,15.25,Low,43,87103.18,0.2223
D0000070,T0003800,2025-03-31,M0188,CNP,US,50.93,FRAUD,50.93,65,2,LOSS,15.51,Low,23,35717.88,0.1445
D0000071,T0004010,2025-05-11,M0127,CP,US,81.89,FRAUD,81.89,39,10,LOSS,15.82,High,5,39199.83,0.0737
D0000072,T0004069,2025-07-29,M0177,CNP,DE,65.33,FRAUD,65.33,55,11,LOSS,15.65,Low,43,45521.34,0.2029
D0000073,T0004102,2025-06-20,M0173,CNP,MX,180.54,NOT_AS_DESCRIBED,180.54,71,7,LOSS,16.81,Medium,46,34502.38,0.2489
D0000074,T0004170,2025-01-08,M0083,CNP,US,77.91,NOT_AS_DESCRIBED,33.38,48,5,LOSS,15.33,Medium,10,55623.66,0.1209
D0000075,T0004184,2024-03-03,M0146,CNP,AU,22.67,NOT_RECEIVED,22.67,68,3,WIN,15.23,Low,51,91662.42,0.296
D0000076,T0004281,2024-01-12,M0155,CNP,US,57.27,NOT_AS_DESCRIBED,57.27,58,11,LOSS,15.57,High,26,37395.92,0.0659
D0000077,T0004324,2025-07-15,M0053,CNP,IN,31.32,NO_AUTH,31.32,60,10,LOSS,15.31,High,22,46721.07,0.1541
D0000078,T0004449,2025-10-04,M0193,CNP,IN,10.87,NO_AUTH,10.87,74,5,WIN,15.11,Medium,36,82395.85,0.0807
D0000079,T0004484,2024-04-14,M0028,CNP,US,20.23,NOT_RECEIVED,20.23,78,4,WIN,15.2,Low,49,28186.27,0.0723
D0000080,T0004555,2024-11-23,M0154,CNP,US,10.65,NOT_RECEIVED,10.65,70,8,WIN,15.11,High,18,47796.39,0.084
D0000081,T0004614,2024-03-07,M0196,CNP,AU,10.43,FRAUD,10.43,33,10,LOSS,15.1,High,6,20441.49,0.283
D0000082,T0004622,2024-04-14,M0244,CNP,MX,94.79,NOT_AS_DESCRIBED,94.79,78,8,WIN,15.95,Low,39,17060.16,0.0312
D0000083,T0004628,2025-01-16,M0032,CNP,CA,38.26,FRAUD,38.26,59,15,LOSS,15.38,Low,14,18679.14,0.0959
D0000084,T0004671,2024-01-06,M0196,CNP,AU,60.9,NO_AUTH,60.9,55,8,WIN,15.61,High,6,20441.49,0.283
D0000085,T0004728,2024-08-18,M0140,CNP,US,14.78,PROCESSING_ERROR,14.78,53,10,WIN,15.15,High,26,65505.29,0.0481
D0000086,T0004764,2024-11-19,M0027,CNP,US,65.43,FRAUD,65.43,36,5,LOSS,15.65,High,24,41277.19,0.1463
D0000087,T0004880,2025-05-17,M0229,CNP,US,17.2,NOT_RECEIVED,17.2,54,5,LOSS,15.17,Medium,33,65258.65,0.1468
D0000088,T0004932,2025-12-29,M0015,CP,US,60.64,FRAUD,60.64,57,6,WIN,15.61,Low,43,87103.18,0.2223
D0000089,T0004948,2024-11-08,M0123,CNP,US,20.5,NOT_RECEIVED,12.44,63,1,LOSS,15.12,Low,39,33325.12,0.1106
D0000090,T0005034,2025-02-10,M0015,CNP,US,26.87,DUPLICATE,26.87,91,7,WIN,15.27,Low,43,87103.18,0.2223
D0000091,T0005044,2025-06-14,M0066,CNP,IN,54.25,FRAUD,54.25,48,7,WIN,15.54,High,20,48133.5,0.2473
D0000092,T0005051,2024-12-23,M0092,CNP,UK,118.08,NOT_AS_DESCRIBED,118.08,83,9,WIN,16.18,Low,48,70805.81,0.0219
D0000093,T0005118,2024-02-22,M0245,CP,US,79.67,PROCESSING_ERROR,79.67,70,5,LOSS,15.8,High,38,41663.65,0.1471
D0000094,T0005157,2025-08-12,M0083,CNP,US,86.74,FRAUD,86.74,59,8,WIN,15.87,Medium,10,55623.66,0.1209
D0000095,T0005170,2025-01-06,M0172,CNP,IN,106.89,FRAUD,106.89,46,8,WIN,16.07,High,6,24174.45,0.1046
D0000096,T0005174,2024-07-11,M0219,CNP,UK,33.45,FRAUD,33.45,90,6,WIN,15.33,Medium,27,32856.34,0.0267
D0000097,T0005233,2025-10-03,M0077,CNP,AU,57.21,FRAUD,57.21,48,10,LOSS,15.57,High,20,17178.23,0.2409
D0000098,T0005286,2025-06-05,M0106,CNP,US,17.28,PROCESSING_ERROR,17.28,71,5,WIN,15.17,Low,47,20606.96,0.0489
D0000099,T0005292,2024-01-09,M0170,CNP,US,56.02,NOT_AS_DESCRIBED,56.02,46,7,LOSS,15.56,Medium,2,22049.08,0.1157
D0000100,T0005323,2025-03-06,M0042,CNP,US,86.54,NOT_RECEIVED,86.54,74,4,WIN,15.87,Medium,45,42247.09,0.119
D0000101,T0005442,2024-01-20,M0224,CNP,US,46.65,DUPLICATE,46.65,65,5,LOSS,15.47,Medium,12,39851.61,0.0892
D0000102,T0005588,2025-04-22,M0021,CNP,DE,34.14,FRAUD,34.14,51,4,WIN,15.34,Low,30,49756.3,0.0933
D0000103,T0005759,2025-05-28,M0154,CNP,US,6.19,FRAUD,4.86,55,10,LOSS,15.05,High,18,47796.39,0.084
D0000104,T0005775,2025-05-30,M0195,CNP,US,19.92,NOT_AS_DESCRIBED,19.92,79,10,LOSS,15.2,High,57,26130.7,0.218
D0000105,T0005801,2024-09-25,M0046,CNP,US,44.2,NO_AUTH,44.2,81,5,WIN,15.44,Low,58,22697.07,0.044
D0000106,T0005854,2025-07-16,M0180,CNP,MX,27.59,NOT_AS_DESCRIBED,27.59,64,7,LOSS,15.28,High,30,12236.82,0.0658
D0000107,T0006167,2024-11-28,M0036,CNP,UK,49.22,PROCESSING_ERROR,49.22,67,9,LOSS,15.49,Low,4,36780.12,0.1202
D0000108,T0006213,2025-05-09,M0161,CNP,AU,34.97,FRAUD,34.97,82,1,WIN,15.35,Low,59,14859.68,0.0559
D0000109,T0006246,2025-12-30,M0007,CNP,DE,86.03,NOT_AS_DESCRIBED,86.03,41,2,LOSS,15.86,High,6,19683.27,0.1304
D0000110,T0006336,2024-05-10,M0081,CNP,US,24.39,NOT_RECEIVED,24.39,71,6,LOSS,15.24,Low,56,29010.22,0.1444
D0000111,T0006345,2024-03-13,M0170,CNP,CA,106.77,FRAUD,106.77,46,8,LOSS,16.07,Medium,2,22049.08,0.1157
D0000112,T0006447,2025-07-09,M0217,CNP,US,4.76,FRAUD,4.76,62,6,LOSS,15.05,High,5,61459.55,0.238
D0000113,T0006464,2024-06-13,M0073,CNP,CA,31.27,FRAUD,31.27,66,10,LOSS,15.31,High,28,11302.33,0.1269
D0000114,T0006475,2024-02-11,M0109,CNP,US,47.18,NO_AUTH,47.18,46,4,LOSS,15.47,Medium,28,15848.81,0.0784
D0000115,T0006480,2025-10-11,M0057,CNP,AU,13.99,FRAUD,13.99,49,9,LOSS,15.14,High,33,64214.82,0.0858
D0000116,T0006483,2025-06-04,M0214,CNP,DE,20.81,NOT_RECEIVED,20.81,51,9,LOSS,15.21,Low,27,26877.73,0.045
D0000117,T0006611,2024-06-03,M0052,CNP,US,119.4,FRAUD,119.4,58,10,LOSS,16.19,Low,12,16673.8,0.065
D0000118,T0006726,2025-09-05,M0187,CNP,US,38.97,NO_AUTH,38.97,47,11,LOSS,15.39,Low,10,13904.18,0.0652
D0000119,T0006729,2024-12-07,M0009,CNP,AU,47.01,NOT_AS_DESCRIBED,18.82,46,3,LOSS,15.19,Low,12,38524.56,0.109
D0000120,T0006753,2024-06-21,M0015,CNP,US,38.83,FRAUD,38.83,74,5,WIN,15.39,Low,43,87103.18,0.2223
D0000121,T0006771,2024-11-03,M0153,CNP,DE,69.3,DUPLICATE,27.78,77,5,WIN,15.28,Low,55,23092.98,0.1318
D0000122,T0006810,2024-04-15,M0127,CNP,US,29.85,FRAUD,29.85,27,6,LOSS,15.3,High,5,39199.83,0.0737
D0000123,T0006872,2025-12-28,M0043,CNP,IN,82.65,NO_AUTH,62.44,89,8,WIN,15.62,Medium,42,21664.76,0.097
D0000124,T0006989,2025-04-20,M0056,CP,US,82.3,NOT_RECEIVED,82.3,28,9,LOSS,15.82,High,3,56321.5,0.1856
D0000125,T0007058,2025-01-22,M0192,CP,US,6.99,NOT_RECEIVED,6.99,74,5,LOSS,15.07,Low,38,28500.29,0.35
D0000126,T0007065,2024-06-01,M0074,CNP,AU,29.65,NO_AUTH,29.65,79,10,WIN,15.3,Low,8,40344.2,0.08
D0000127,T0007314,2024-10-16,M0171,CNP,US,48.18,NOT_RECEIVED,48.18,42,5,LOSS,15.48,High,7,18437.55,0.2084
D0000128,T0007472,2024-11-13,M0188,CNP,DE,22.81,FRAUD,22.81,54,7,WIN,15.23,Low,23,35717.88,0.1445
D0000129,T0007523,2025-12-19,M0025,CNP,IN,84.32,NOT_RECEIVED,84.32,92,0,WIN,15.84,Low,47,15644.34,0.0459
D0000130,T0007549,2024-08-19,M0218,CP,US,21.4,PROCESSING_ERROR,21.4,63,4,LOSS,15.21,Medium,6,23414.61,0.1394
D0000131,T0007599,2024-11-12,M0246,CNP,US,26.05,NOT_RECEIVED,26.05,58,2,LOSS,15.26,Medium,5,40929.63,0.0315
D0000132,T0007651,2024-01-23,M0031,CNP,US,117.71,NOT_RECEIVED,117.71,67,4,WIN,16.18,Medium,27,27719.58,0.1104
D0000133,T0007731,2024-02-08,M0135,CNP,US,58.8,FRAUD,58.8,83,2,LOSS,15.59,Medium,47,45005.99,0.1818
D0000134,T0007741,2025-10-07,M0122,CNP,US,57.06,NOT_RECEIVED,57.06,68,6,WIN,15.57,Medium,40,28292.05,0.1652
D0000135,T0007776,2025-12-11,M0201,CNP,UK,12.16,NO_AUTH,12.16,70,10,WIN,15.12,Medium,22,32333.6,0.0383
D0000136,T0007787,2024-08-29,M0213,CNP,US,40.94,DUPLICATE,40.94,89,1,WIN,15.41,Medium,47,16402.15,0.1219
D0000137,T0007959,2024-12-24,M0020,CNP,US,51.55,DUPLICATE,51.55,71,6,LOSS,15.52,Low,27,25693.0,0.1647
D0000138,T0008031,2024-06-16,M0233,CNP,US,75.84,FRAUD,75.84,40,10,LOSS,15.76,Medium,2,10845.79,0.0475
D0000139,T0008074,2024-07-31,M0209,CNP,US,37.85,CANCELLED,37.85,49,5,LOSS,15.38,High,16,34308.47,0.2676
D0000140,T0008182,2025-12-08,M0200,CNP,MX,13.94,NOT_AS_DESCRIBED,13.94,96,5,WIN,15.14,Medium,57,25877.41,0.2214
D0000141,T0008209,2024-09-07,M0181,CNP,US,50.86,NOT_AS_DESCRIBED,40.53,66,5,LOSS,15.41,Low,56,15370.62,0.2133
D0000142,T0008234,2024-01-28,M0038,CNP,US,50.1,FRAUD,50.1,50,4,LOSS,15.5,Low,49,32408.47,0.1054
D0000143,T0008289,2025-06-21,M0108,CP,BR,26.68,NOT_AS_DESCRIBED,19.56,40,8,LOSS,15.2,High,40,56843.56,0.1963
D0000144,T0008329,2024-03-24,M0021,CNP,UK,30.0,FRAUD,30.0,64,7,LOSS,15.3,Low,30,49756.3,0.0933
D0000145,T0008668,2025-12-05,M0156,CNP,MX,77.9,NOT_RECEIVED,77.9,85,1,WIN,15.78,Low,40,34969.05,0.043
D0000146,T0008710,2025-04-02,M0012,CNP,US,40.35,FRAUD,40.35,85,8,LOSS,15.4,High,58,49562.94,0.1378
D0000147,T0008717,2024-11-21,M0066,CNP,MX,71.16,NOT_AS_DESCRIBED,71.16,64,10,LOSS,15.71,High,20,48133.5,0.2473
D0000148,T0008756,2025-10-28,M0212,CNP,US,46.75,NO_AUTH,46.75,66,8,LOSS,15.47,Low,43,27966.4,0.1359
D0000149,T0008799,2024-06-22,M0201,CNP,UK,201.49,PROCESSING_ERROR,156.15,65,7,LOSS,16.56,Medium,22,32333.6,0.0383
D0000150,T0008845,2024-05-06,M0058,CNP,MX,278.19,PROCESSING_ERROR,278.19,62,5,WIN,17.78,Low,10,23309.44,0.173
D0000151,T0009012,2025-10-13,M0152,CNP,AU,83.24,CANCELLED,83.24,55,15,LOSS,15.83,Low,17,25574.53,0.1531
D0000152,T0009129,2024-02-04,M0229,CNP,AU,12.64,FRAUD,12.64,59,6,WIN,15.13,Medium,33,65258.65,0.1468
D0000153,T0009138,2024-08-15,M0006,CNP,US,18.57,FRAUD,18.57,87,5,WIN,15.19,Low,51,16085.38,0.35
D0000154,T0009175,2024-07-05,M0041,CNP,US,11.96,NOT_AS_DESCRIBED,11.96,39,8,LOSS,15.12,Low,10,26980.41,0.2216
D0000155,T0009179,2024-09-15,M0119,CNP,DE,33.85,NOT_AS_DESCRIBED,33.85,59,4,LOSS,15.34,Low,15,101048.92,0.0241
D0000156,T0009245,2025-05-23,M0066,CNP,US,12.13,CANCELLED,6.94,35,7,LOSS,15.07,High,20,48133.5,0.2473
D0000157,T0009318,2025-05-31,M0172,CNP,MX,32.36,FRAUD,32.36,42,4,WIN,15.32,High,6,24174.45,0.1046
D0000158,T0009362,2025-06-05,M0006,CNP,US,61.39,NOT_AS_DESCRIBED,45.08,84,7,LOSS,15.45,Low,51,16085.38,0.35
D0000159,T0009386,2025-11-02,M0217,CNP,CA,62.51,NO_AUTH,62.51,55,13,LOSS,15.63,High,5,61459.55,0.238
D0000160,T0009388,2025-07-11,M0045,CNP,US,28.78,PROCESSING_ERROR,28.78,52,7,WIN,15.29,High,5,26730.24,0.1546
D0000161,T0009577,2025-01-07,M0048,CNP,US,37.03,FRAUD,37.03,82,3,LOSS,15.37,Low,53,8090.58,0.1983
D0000162,T0009605,2024-04-26,M0018,CNP,IN,63.82,NOT_RECEIVED,63.82,42,8,LOSS,15.64,High,8,74764.75,0.1323
D0000163,T0009620,2025-11-28,M0199,CNP,BR,34.6,NOT_RECEIVED,34.6,59,7,LOSS,15.35,Low,20,14850.68,0.1257
D0000164,T0009658,2025-04-26,M0194,CNP,US,27.35,NOT_RECEIVED,27.35,67,10,WIN,15.27,Low,22,23080.37,0.0481
D0000165,T0009691,2025-11-02,M0014,CNP,AU,17.96,NO_AUTH,17.96,58,2,LOSS,15.18,Medium,45,36488.93,0.108
D0000166,T0009710,2025-07-03,M0019,CP,US,33.49,NO_AUTH,16.14,82,2,WIN,15.16,Medium,50,20915.91,0.2029
D0000167,T0009715,2025-04-10,M0146,CNP,MX,80.39,NOT_RECEIVED,80.39,96,5,WIN,15.8,Low,51,91662.42,0.296
D0000168,T0009965,2025-06-02,M0229,CNP,CA,18.95,FRAUD,18.95,62,9,LOSS,15.19,Medium,33,65258.65,0.1468
D0000169,T0009983,2025-06-26,M0190,CNP,IN,49.13,PROCESSING_ERROR,49.13,57,8,LOSS,15.49,Low,18,29923.83,0.215
D0000170,T0010121,2024-09-20,M0119,CNP,US,11.63,NOT_RECEIVED,11.63,59,8,LOSS,15.12,Low,15,101048.92,0.0241
D0000171,T0010316,2025-04-08,M0181,CP,US,29.14,NOT_RECEIVED,29.14,70,5,LOSS,15.29,Low,56,15370.62,0.2133
D0000172,T0010346,2025-03-28,M0035,CNP,US,96.98,NOT_RECEIVED,96.98,84,4,WIN,15.97,Medium,53,29028.48,0.2516
D0000173,T0010357,2024-06-20,M0044,CNP,US,11.6,CANCELLED,11.6,66,5,WIN,15.12,Low,21,32250.26,0.237
D0000174,T0010412,2025-01-21,M0153,CNP,US,21.6,NO_AUTH,21.6,70,6,WIN,15.22,Low,55,23092.98,0.1318
D0000175,T0010491,2024-02-22,M0037,CNP,DE,85.13,FRAUD,37.05,67,9,LOSS,15.37,High,51,35095.5,0.3076
D0000176,T0010496,2025-06-28,M0234,CNP,BR,74.12,NOT_RECEIVED,27.04,57,3,LOSS,15.27,Low,45,11968.71,0.0568
D0000177,T0010567,2025-01-05,M0123,CNP,US,20.55,NOT_RECEIVED,20.55,74,4,WIN,15.21,Low,39,33325.12,0.1106
D0000178,T0010672,2025-08-05,M0057,CNP,IN,17.68,FRAUD,17.68,52,7,WIN,15.18,High,33,64214.82,0.0858
D0000179,T0010715,2025-01-06,M0177,CNP,IN,50.95,FRAUD,50.95,55,6,LOSS,15.51,Low,43,45521.34,0.2029
D0000180,T0010735,2024-07-17,M0119,CNP,US,31.22,NO_AUTH,24.28,55,9,WIN,15.24,Low,15,101048.92,0.0241
D0000181,T0010838,2025-12-27,M0083,CP,MX,34.1,FRAUD,34.1,49,5,WIN,15.34,Medium,10,55623.66,0.1209
D0000182,T0010877,2024-07-27,M0172,CNP,BR,27.69,NOT_AS_DESCRIBED,27.69,58,8,LOSS,15.28,High,6,24174.45,0.1046
D0000183,T0010977,2024-09-12,M0211,CNP,US,15.44,NO_AUTH,15.44,60,7,WIN,15.15,Medium,16,25915.87,0.0854
D0000184,T0011050,2024-09-17,M0158,CNP,UK,39.82,FRAUD,21.16,48,8,LOSS,15.21,Low,33,39673.47,0.0614
D0000185,T0011263,2024-05-16,M0019,CP,US,76.9,FRAUD,76.9,67,6,LOSS,15.77,Medium,50,20915.91,0.2029
D0000186,T0011276,2025-05-17,M0176,CNP,US,34.25,NOT_RECEIVED,34.25,66,6,WIN,15.34,Medium,28,20003.76,0.2247
D0000187,T0011352,2024-10-11,M0232,CNP,CA,49.48,FRAUD,49.48,96,9,LOSS,15.49,Medium,51,73255.92,0.0895
D0000188,T0011362,2025-10-21,M0154,CNP,DE,37.23,FRAUD,15.06,61,9,LOSS,15.15,High,18,47796.39,0.084
D0000189,T0011496,2025-12-02,M0120,CNP,US,26.79,PROCESSING_ERROR,26.79,44,7,LOSS,15.27,Medium,7,30415.08,0.0515
D0000190,T0011510,2025-03-10,M0083,CNP,US,72.26,FRAUD,72.26,54,2,LOSS,15.72,Medium,10,55623.66,0.1209
